id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol_image_source,logo_image_source
bw9,Plasma Freeze,Black & White,116,122,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PLF,2013/05/08,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw9/symbol.png""","""https://images.pokemontcg.io/bw9/logo.png"""
bw10,Plasma Blast,Black & White,101,105,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PLB,2013/08/14,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw10/symbol.png""","""https://images.pokemontcg.io/bw10/logo.png"""
xyp,XY Black Star Promos,XY,211,216,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PR-XY,2013/10/12,2020/08/14 09:35:00,"""https://images.pokemontcg.io/xyp/symbol.png""","""https://images.pokemontcg.io/xyp/logo.png"""
bw11,Legendary Treasures,Black & White,113,140,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",LTR,2013/11/06,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw11/symbol.png""","""https://images.pokemontcg.io/bw11/logo.png"""
xy0,Kalos Starter Set,XY,39,39,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",KSS,2013/11/08,2018/03/04 10:35:00,"""https://images.pokemontcg.io/xy0/symbol.png""","""https://images.pokemontcg.io/xy0/logo.png"""
xy1,XY,XY,146,146,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",XY,2014/02/05,2018/03/04 10:35:00,"""https://images.pokemontcg.io/xy1/symbol.png""","""https://images.pokemontcg.io/xy1/logo.png"""
xy2,Flashfire,XY,106,110,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",FLF,2014/05/07,2018/03/04 10:35:00,"""https://images.pokemontcg.io/xy2/symbol.png""","""https://images.pokemontcg.io/xy2/logo.png"""
mcd14,McDonald's Collection 2014,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2014/05/23,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd14/symbol.png""","""https://images.pokemontcg.io/mcd14/logo.png"""
xy3,Furious Fists,XY,111,114,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",FFI,2014/08/13,2018/03/04 10:35:00,"""https://images.pokemontcg.io/xy3/symbol.png""","""https://images.pokemontcg.io/xy3/logo.png"""
xy4,Phantom Forces,XY,119,124,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PHF,2014/11/05,2020/08/14 09:35:00,"""https://images.pokemontcg.io/xy4/symbol.png""","""https://images.pokemontcg.io/xy4/logo.png"""
xy5,Primal Clash,XY,160,164,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PRC,2015/02/04,2020/05/01 16:06:00,"""https://images.pokemontcg.io/xy5/symbol.png""","""https://images.pokemontcg.io/xy5/logo.png"""
dc1,Double Crisis,XY,34,34,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DCR,2015/03/25,2019/01/28 16:44:00,"""https://images.pokemontcg.io/dc1/symbol.png""","""https://images.pokemontcg.io/dc1/logo.png"""
xy6,Roaring Skies,XY,108,112,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",ROS,2015/05/06,2020/08/14 09:35:00,"""https://images.pokemontcg.io/xy6/symbol.png""","""https://images.pokemontcg.io/xy6/logo.png"""
xy7,Ancient Origins,XY,98,100,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",AOR,2015/08/12,2020/08/14 09:35:00,"""https://images.pokemontcg.io/xy7/symbol.png""","""https://images.pokemontcg.io/xy7/logo.png"""
xy8,BREAKthrough,XY,162,165,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",BKT,2015/11/04,2019/04/10 19:59:00,"""https://images.pokemontcg.io/xy8/symbol.png""","""https://images.pokemontcg.io/xy8/logo.png"""
mcd15,McDonald's Collection 2015,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2015/11/27,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd15/symbol.png""","""https://images.pokemontcg.io/mcd15/logo.png"""
xy9,BREAKpoint,XY,122,126,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",BKP,2016/02/03,2020/08/14 09:35:00,"""https://images.pokemontcg.io/xy9/symbol.png""","""https://images.pokemontcg.io/xy9/logo.png"""
g1,Generations,XY,83,117,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",GEN,2016/02/22,2020/08/14 09:35:00,"""https://images.pokemontcg.io/g1/symbol.png""","""https://images.pokemontcg.io/g1/logo.png"""
xy10,Fates Collide,XY,124,129,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",FCO,2016/05/02,2018/09/03 11:49:00,"""https://images.pokemontcg.io/xy10/symbol.png""","""https://images.pokemontcg.io/xy10/logo.png"""
xy11,Steam Siege,XY,114,116,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",STS,2016/08/03,2019/04/10 19:59:00,"""https://images.pokemontcg.io/xy11/symbol.png""","""https://images.pokemontcg.io/xy11/logo.png"""
mcd16,McDonald's Collection 2016,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2016/08/19,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd16/symbol.png""","""https://images.pokemontcg.io/mcd16/logo.png"""
xy12,Evolutions,XY,108,113,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",EVO,2016/11/02,2020/09/25 10:09:00,"""https://images.pokemontcg.io/xy12/symbol.png""","""https://images.pokemontcg.io/xy12/logo.png"""
sm1,Sun & Moon,Sun & Moon,149,173,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",SUM,2017/02/03,2019/04/10 19:59:00,"""https://images.pokemontcg.io/sm1/symbol.png""","""https://images.pokemontcg.io/sm1/logo.png"""
smp,SM Black Star Promos,Sun & Moon,248,250,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PR-SM,2017/02/03,2020/05/01 16:06:00,"""https://images.pokemontcg.io/smp/symbol.png""","""https://images.pokemontcg.io/smp/logo.png"""
sm2,Guardians Rising,Sun & Moon,145,180,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",GRI,2017/05/05,2022/10/11 21:39:00,"""https://images.pokemontcg.io/sm2/symbol.png""","""https://images.pokemontcg.io/sm2/logo.png"""
sm3,Burning Shadows,Sun & Moon,147,177,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",BUS,2017/08/05,2022/10/11 21:39:00,"""https://images.pokemontcg.io/sm3/symbol.png""","""https://images.pokemontcg.io/sm3/logo.png"""
sm35,Shining Legends,Sun & Moon,73,81,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",SLG,2017/10/06,2022/10/11 21:39:00,"""https://images.pokemontcg.io/sm35/symbol.png""","""https://images.pokemontcg.io/sm35/logo.png"""
sm4,Crimson Invasion,Sun & Moon,111,126,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",CIN,2017/11/03,2022/10/11 21:39:00,"""https://images.pokemontcg.io/sm4/symbol.png""","""https://images.pokemontcg.io/sm4/logo.png"""
mcd17,McDonald's Collection 2017,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2017/11/07,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd17/symbol.png""","""https://images.pokemontcg.io/mcd17/logo.png"""
sm5,Ultra Prism,Sun & Moon,156,178,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",UPR,2018/02/02,2019/02/19 23:25:00,"""https://images.pokemontcg.io/sm5/symbol.png""","""https://images.pokemontcg.io/sm5/logo.png"""
sm6,Forbidden Light,Sun & Moon,131,150,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",FLI,2018/05/04,2019/02/19 23:25:00,"""https://images.pokemontcg.io/sm6/symbol.png""","""https://images.pokemontcg.io/sm6/logo.png"""
sm7,Celestial Storm,Sun & Moon,168,187,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",CES,2018/08/03,2022/10/11 21:39:00,"""https://images.pokemontcg.io/sm7/symbol.png""","""https://images.pokemontcg.io/sm7/logo.png"""
sm75,Dragon Majesty,Sun & Moon,70,80,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DRM,2018/09/07,2018/10/01 21:54:00,"""https://images.pokemontcg.io/sm75/symbol.png""","""https://images.pokemontcg.io/sm75/logo.png"""
